remove,change,facilityID,club_name,state,country,continent
AD-001,me,AD-001,Adios Golf Club,Florida,United States of America,America
DD-001,me,DD-001,Desert Dunes Golf Club,Califonia,United States of America,America
SC-001,me,SC-001,Sherwood Country Club,Califonia,United States of America,America
SG-001,me,SG-001,Services Golf Club,Cape Town,South Africa,Africa
OL-001,me,OL-001,Olivas Links Golf,Califonia,United States of America,America
CS-001,me,CS-001,The Club at Steyn City,Cape Town,South Africa,Africa
WC-001,me,WC-001,Wilshire Country Club,Califonia,United States of America,America
DC-001,me,DC-001,Diamond Country Club,Sydney,Austria,Europe
SP-001,me,SP-001,Schoeman Park Golf Club,Cape Town,South Africa,Africa
PG-001,me,PG-001,Parkview Golf Club,Johannesburg,South Africa,Africa
EG-001,me,EG-001,Erinvale Golf Club,Johannesburg,South Africa,Africa
EC-001,me,EC-001,Eagle Canyon Golf Club,Johannesburg,South Africa,Africa
SGW-001,me,SGW-001,Serengeti Golf & Wildlife Estate,Cape Town,South Africa,Africa
PGC-001,me,PGC-001,Pecanwood Golf & Country Club,Cape Town,South Africa,Africa
ZC-001,me,ZC-001,Zwartkop Country Club,Cape Town,South Africa,Africa
SL-001,me,SL-001,Silver Lakes Country Club,Cape Town,South Africa,Africa
MGC-001,me,MGC-001,Modderfontein Golf Club,Johannesburg,South Africa,Africa
OGC-001,me,OGC-001,Omeya Golf Club,Windoek,Namibia,Africa
GCC-001,me,GCC-001,Golf Club Crans-sur-Sierre,Bern,Switzerland,Europe
CCJ-001,me,CCJ-001,Country Club Johannesburg,Johannesburg,South Africa,Africa
SCC-001,me,SCC-001,Soweto Country Club,Soweto,South Africa,Africa
GG-001,me,GG-001,George Golf Club,Johannesburg,South Africa,Africa
ET-001,me,ET-001,Edgewood Tahoe Golf Course,Nevada,United States of America,America
SR-001,me,SR-001,Shark River Golf Course,New Jersey,United States of America,America
SGC-001,me,SGC-001,Stellenbosch Golf Course,Johannesburg,South Africa,Africa
HR-001,me,HR-001,High Ridge Country Club,Florida,United States of America,America
JW-001,me,JW-001,JW Marriott Desert Springs Palm Course,Califonia,United States of America,America
MV-001,me,MV-001,Muirfield Village Golf Club,Ohio,United States of America,America
