Change,replace,teeId,course,tee_name,tee_color,tee_gender,slope,rating,course_par_for_tee,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par
DD-001-01-04,me,DD-001-01-04,DD-001-01,White (F),White,Female,126,75.9,72,5,4,4,4,3,4,4,3,5,4,4,4,5,3,4,5,3,4
DD-001-01-05,me,DD-001-01-05,DD-001-01,Silver (F),Silver,Female,116,70.7,72,5,4,4,4,3,4,4,3,5,4,4,4,5,3,4,5,3,4
SC-001-01-03,me,SC-001-01-03,SC-001-01,Blue (F),Blue,Female,152,79.1,72,4,5,3,5,4,3,5,3,4,4,5,3,4,5,4,4,3,4
SC-001-01-06,me,SC-001-01-06,SC-001-01,White (F),White,Female,147,76.5,72,4,5,3,5,4,3,5,3,4,4,5,3,4,5,4,4,3,4
SC-001-01-07,me,SC-001-01-07,SC-001-01,Red (F),Red,Female,137,73.3,72,4,5,3,5,4,3,5,3,4,4,5,3,4,5,4,4,3,4
SC-001-01-08,me,SC-001-01-08,SC-001-01,Forward (F),Forward,Female,132,71.1,72,4,5,3,5,4,3,5,3,4,4,5,3,4,5,4,4,3,4
SG-001-01-04,me,SG-001-01-04,SG-001-01,Blue (F),Blue,Female,137,76.9,72,4,5,4,4,4,3,4,3,5,4,3,5,4,4,3,4,4,5
SG-001-01-06,me,SG-001-01-06,SG-001-01,Red (F),Red,Female,129,73.3,72,4,5,4,4,4,3,4,3,5,4,3,5,4,4,3,4,4,5
OL-001-01-04,me,OL-001-01-04,OL-001-01,Club (F),Club,Female,135,77,72,4,5,4,5,3,4,4,3,4,4,4,4,3,5,4,4,3,5
OL-001-01-06,me,OL-001-01-06,OL-001-01,Player (F),Player,Female,128,72.4,72,4,5,4,5,3,4,4,3,4,4,4,4,3,5,4,4,3,5
CS-001-01-05,me,CS-001-01-05,CS-001-01,Red (F),Red,Female,140,72.5,72,4,4,5,4,3,5,4,4,3,5,4,3,4,3,4,5,4,4
CS-001-01-06,me,CS-001-01-06,CS-001-01,Blue (F),Blue,Female,150,77.2,72,4,4,5,4,3,5,4,4,3,5,4,3,4,3,4,5,4,4
DC-001-01-03,me,DC-001-01-03,DC-001-01,Black (F),Black,Female,128,71.2,72,4,4,4,4,3,5,5,4,3,5,3,4,5,4,3,4,4,4
DC-001-01-04,me,DC-001-01-04,DC-001-01,Red (F),Red,Female,137,75.9,72,4,4,4,4,3,5,5,4,3,5,3,4,5,4,3,4,4,4
SP-001-01-04,me,SP-001-01-04,SP-001-01,Blue (F),Blue,Female,144,77.6,72,4,4,4,4,5,3,4,3,5,4,4,5,4,3,5,4,3,4
SP-001-01-05,me,SP-001-01-05,SP-001-01,Red (F),Red,Female,135,73.1,72,4,4,4,4,5,3,4,3,5,4,4,5,4,3,5,4,3,4
PG-001-01-04,me,PG-001-01-04,PG-001-01,White (F),White,Female,152,79.1,72,5,4,3,4,3,4,4,4,4,4,4,4,5,5,3,4,4,4
PG-001-01-05,me,PG-001-01-05,PG-001-01,Blue (F),Blue,Female,146,74.8,72,5,4,3,4,3,4,4,4,4,4,4,4,5,5,3,4,4,4
EG-001-01-05,me,EG-001-01-05,EG-001-01,Blue (F),Blue,Female,142,76.9,72,4,3,5,4,4,4,5,3,4,4,4,3,5,3,4,5,4,4
EG-001-01-06,me,EG-001-01-06,EG-001-01,Red (F),Red,Female,134,73.7,72,4,3,5,4,4,4,5,3,4,4,4,3,5,3,4,5,4,4
EC-001-01-04,me,EC-001-01-04,EC-001-01,Red (F),Red,Female,155,74.2,72,4,5,4,3,5,4,4,3,4,4,3,4,4,5,4,4,3,5
SGW-001-01-04,me,SGW-001-01-04,SGW-001-01,Red (F),Red,Female,134,70.8,72,4,4,5,4,3,4,4,5,3,4,5,3,4,4,3,5,4,4
PGC-001-01-05,me,PGC-001-01-05,PGC-001-01,Blue (F),Blue,Female,146,75.9,72,4,4,3,4,5,4,5,3,4,5,4,5,3,4,4,4,3,4
PGC-001-01-06,me,PGC-001-01-06,PGC-001-01,Red (F),Red,Female,124,66.3,72,4,4,3,4,5,4,5,3,4,5,4,5,3,4,4,4,3,4
ZC-001-01-05,me,ZC-001-01-05,ZC-001-01,White (F),White,Female,148,77.7,71,5,4,3,5,4,4,3,4,4,4,4,3,4,4,3,5,3,5
ZC-001-01-06,me,ZC-001-01-06,ZC-001-01,Blue (F),Blue,Female,139,73.7,71,5,4,3,5,4,4,3,4,4,4,4,3,4,4,3,5,3,5
